state, num
Alaska, 1
Maine, 12
Vermont, 22
New Hampshire, 23
Massachusetts, 24
Washington, 26
Montana, 27
North Dakota, 28
South Dakota, 29, 
Minnesota, 30
Wisconsin, 31
Michigan, 32
New York, 34
Connecticut, 35
Rhode Island, 36
Oregon, 38
Idaho, 39
Wyoming, 40
Nebraska, 41
Iowa, 42
Illinois, 43
Indiana, 44
Ohio, 45
Pennsylvania, 46
New Jersey, 47
California, 49
Nevada, 50
Utah, 51
Colorado, 52
Kansas, 53
Missouri, 54
Kentucky, 55
West Virginia, 56
District of Columbia, 57
Maryland, 58
Delaware, 59
Arizona, 63
New Mexico, 64
Oklahoma, 65
Arkansas, 66
Tennessee, 67
Virginia, 68
North Carolina, 69
Texas, 76
Louisiana, 77
Mississippi, 78
Alabama, 79
Georgia, 80
South Carolina, 81
Hawaii, 85
Florida, 92
